year,quarter,store,net_sales_total,number_orders_total,delivery_sales,delivery_orders,dine_in_sales,dine_in_orders,to_go_sales,to_go_orders,pick_up_sales,pick_up_orders,discounts,percent_discount,ticket_average,web_app_net_sales_online,web_app_number_orders_online,web_app_ticket_avg_online,online_percent_online,number_on_time_deliveries,number_late_deliveries,x3rd_party_sales_total,x3rd_party_orders_total,dd_sales,dd_orders_door_dash,ue_sales,ue_orders,quarter_label,period
2023,1,Spanish Lake,351081.55,14227,77784.27,2401,45.69,3,51883.04,2997,221368.55,8826,36686.17,10.4,24.68,92899.77,3250,28.58,26.5,1635,721,27.84,1,27.84,1,0,0,Q1,2023 Q1
2023,1,Spring & Delor,545915.81,20283,376384.69,12600,0,0,14791.75,915,154739.37,6768,56301.39,10.3,26.91,208079.12,7006,29.7,38.1,9821,2634,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Springfield - Pickwick,222776.58,8208,84423.74,2409,39058.97,1744,20389.4,1137,78904.47,2918,20872.63,9.4,27.14,102109.45,3177,32.14,45.8,1608,647,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Springfield - Republic,207036.71,7279,50491.21,1416,34150.03,1405,17899.89,851,104495.58,3607,22902.96,11.1,28.44,80728.36,2434,33.17,39,1010,340,0,0,0,0,0,0,Q1,2023 Q1
2023,1,St Ann,323860.92,11742,182886.17,5760,2147.55,124,25689.74,1421,113137.46,4437,40371.12,12.5,27.58,163097.97,5348,30.5,50.4,3866,1769,0,0,0,0,0,0,Q1,2023 Q1
2023,1,St Peters Parkway,260430.82,7490,171311.63,4336,0,0,9197.74,480,79921.45,2674,27834.51,10.7,34.77,176796.63,4714,37.5,67.9,3055,1088,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Sullivan,227303.6,8553,47384.02,1372,55756.13,2251,22682.85,1217,101480.6,3713,46563.74,20.5,26.58,63684.49,1957,32.54,28,1006,307,32.25,1,32.25,1,0,0,Q1,2023 Q1
2023,1,Tesson Ferry,338526.64,11265,155544.98,4193,181.93,6,11608.48,708,171191.25,6358,28804.79,8.5,30.05,168397.85,5021,33.54,49.7,2584,1398,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Tower Grove,300737.32,11251,184402.11,5936,0,0,13446.23,887,102888.98,4428,31447.32,10.5,26.73,164685.21,5513,29.87,54.8,4696,1053,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Troy IL,203693.82,7123,72040.05,1928,17883.39,822,12333.28,702,101437.1,3671,26914.52,13.2,28.6,115346.44,3482,33.13,56.6,1273,583,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Troy MO,551387.64,16590,286157.48,6689,55963.91,1918,19582.34,2126,189683.91,5857,67077.01,12.2,33.24,298384.52,7531,39.62,54.1,4569,1790,0,0,0,0,0,0,Q1,2023 Q1
